성함과 주민번호 앞자리 말씀해 주시겠어요?	O O O O O
류다운 110605 입니다.	SS_NAME-B ID_INUM-B O
BC바로카드 확인되는데 분실카드가 맞으신가요?	SS_BRAND-B O O O
성함과 주민번호 앞자리 말씀해 주시겠어요?	O O O O O
남궁소은 800818 입니다.	SS_NAME-B ID_INUM-B O
신한카드 확인되는데 분실카드가 맞으신가요?	SS_BRAND-B O O O
국제 카드사인 비자카드사를 통해서 받을수 있습니다.	O O SS_BRAND-B O O O
성함과 주민번호 앞자리 말씀해 주시겠어요?	O O O O O
탁혜빈 650108 입니다.	SS_NAME-B ID_INUM-B O
롯데카드 확인되는데 분실카드가 맞으신가요?	SS_BRAND-B O O O
생년월일을 말씀해 주시겠어요?	O O O
741127입니다.	ID_INUM-B
성함과 주민번호 앞자리 말씀해 주시겠어요?	O O O O O
권경철 520926 입니다.	SS_NAME-B ID_INUM-B O
현대카드 확인되는데 분실카드가 맞으신가요?	SS_BRAND-B O O O
계림1동 입니다.	AD_ADDRESS-B O
성함과 주민번호 앞자리 말씀해 주시겠어요?	O O O O O
조만호 520926 입니다.	SS_NAME-B ID_INUM-B O
카드대금 이체 계좌말씀해 주시겠어요?	O O O O
312-6458-7668-94입니다.	ID_ACCOUNT-B
비자카드 확인되십니다.	SS_BRAND-B O
맞으신가요?	O
성함말씀해 주시겠어요?	O O
한한빈입니다	SS_NAME-B
생년월일을 말씀해 주시겠어요?	O O O
790824입니다.	ID_INUM-B
성함말씀해 주시겠어요?	O O
오승진입니다.	SS_NAME-B
거래계좌번호 말씀해 주시겠어요?	O O O
072-1947-7251-90입니다.	ID_ACCOUNT-B
롯데카드와 우리카드 확인되십니다.	SS_BRAND-B SS_BRAND-B O
롯데카드요	SS_BRAND-B
성함과 주민번호 앞자리 말씀해 주시겠어요?	O O O O O
허정옥 725190 입니다	SS_NAME-B ID_INUM-B O
계좌번호 말씀해 주시겠어요?	O O O
029-3009-9179-5877 입니다	ID_ACCOUNT-B O
통장개설 지역이 어디이신가요?	O O O
동천동입니다.	AD_ADDRESS-B
동천동 지점으로 가셔서 상담받으시면 됩니다.	AD_ADDRESS-B O O O O
핸드폰 번호 알려주시겠어요?	O O O
010-1423-3764 입니다.	ID_PHONE-B O
거래 계좌 번호 알려주시겠어요?	O O O O
325-77-739408 입니다.	ID_ACCOUNT-B O
거래 계좌 번호 알려주시겠어요?	O O O O
993-10-662480 입니다.	ID_ACCOUNT-B O
신암4동 CD기기에서 이체하신건입니까?	AD_ADDRESS-B O O
성함을 말씀해 주시겠어요?	O O O
조지숙입니다.	SS_NAME-B
사용하시는 계좌번호 알려주시겠어요?	O O O
983-0324-0130-01 입니다.	ID_ACCOUNT-B O
성함을 말씀해 주시겠어요?	O O O
문윤빈입니다.	SS_NAME-B
사용하시는 계좌번호 알려주시겠어요?	O O O
060-1039-5637-81 입니다.	ID_ACCOUNT-B O
계좌번호 알려주시겠어요?	O O
236-5272-3700-69 입니다.	ID_ACCOUNT-B O
고객님 명의로 된 계좌가 3개 있으신데요,	O O O O O O
맨 뒷자리가 283으로 끝나는 계좌요.	O O ID_ACCOUNT-B O O
저희 중소기업은행 통장인 거죠?	O SS_BRAND-B O O
청주시 흥덕구 지동동 지동역입니다.	AD_ADDRESS-B AD_ADDRESS-I AD_ADDRESS-I AD_DETAIL-B
지동역이시면 2번 출구에 지동역지점이 있습니다.	AD_DETAIL-B AD_DETAIL-I O AD_DETAIL-I O
2번 출구요?	AD_DETAIL-B O
제가 있는 곳에선 한국산업은행이 가까운데 다른 은행에 가져다 드리는 건 안되죠?	O O O SS_BRAND-B O O O O O O O
구반포역이요.	AD_DETAIL-B
구반포역 3번 출구에서 Om 정도 직진 하시면 구반포지점이 있습니다.	AD_DETAIL-B AD_DETAIL-I O O O O O AD_DETAIL-I O
송정역에 있는 곳이었습니다.	AD_DETAIL-B O O
롯데인벤스1차아파트지점 연락처는 02-6579-0070입니다.	AD_DETAIL-B O ID_PHONE-B
쌍문3동역에서 가까운 지점 알려주시면 가져다 드릴게요.	AD_DETAIL-B O O O O O
감사 드립니다.	O O
상하역이시면 6번 출구에 상하지점이 있습니다.	AD_DETAIL-B AD_DETAIL-I O AD_DETAIL-I O
해당 현금카드와 연결된 계좌번호가 어떻게 되시나요?	O O O O O O
5760382-53-757280 입니다.	ID_ACCOUNT-B O
아, BC바로카드입니다.	O SS_BRAND-B
용인시 기흥구 영덕동에 있는 gs주유소입니다.	AD_ADDRESS-B AD_ADDRESS-I AD_ADDRESS-I O AD_DETAIL-B
여기 오산역 2번 출구에 있는 오산지점 ATM기입니다.	O AD_DETAIL-B AD_DETAIL-I O O AD_DETAIL-I O
이체하신 계좌번호와 예금주명도 알려주실 수 있나요?	O O O O O O
대구은행 224-0738-5828-04 권인성입니다..	SS_BRAND-B O SS_NAME-B
문자 보냈던 번호도 같이 알려주시겠어요?	O O O O O
011-4438-5283입니다.	ID_PHONE-B
연락 온 전화번호를 알려주시면 보이스피싱 번호로 신고해두겠습니다.	O O O O O O O
네, 02-7580-0230 이었습니다.	O ID_PHONE-B O
제가 지금 이 은행 기린지점 직원 신지숙씨 통해서 대출을 받으려고 하는데요.	O O O O AD_DETAIL-B O SS_NAME-B O O O O
탈주각앱 깔았습니다.	SS_BRAND-B O
저기 광주은행이죠?	O SS_BRAND-B
방금 한국스탠다드차타드은행에서 문자가 왔는데요.	O SS_BRAND-B O O
네, 배철진이라는 사람에게 전부 이체되었어요..	O SS_NAME-B O O O
저 어떡해요… 흑흑	O O O
저희 중소기업은행을 대표해 말씀 드리는 것입니다.	O SS_BRAND-B O O O O
계좌번호 끝자리가 8691로 입금해야 하는데 실수로 2067에 입금했습니다.	O O ID_ACCOUNT-B O O O ID_ACCOUNT-B O
방금 대내안지점 제갈희용에게 전화가 왔는데요.	O AD_DETAIL-B SS_NAME-B O O
네, 전화번호는 02-3136-7605 입니다.	O O ID_PHONE-B O
네, 저희 은행 와룡로지점 직원이 맞습니다.	O O O AD_DETAIL-B O O
끝자리가 636으로 끝나는 계좌이고요.	O ID_ACCOUNT-B O O
표선숙님으로 입금된 내역 말씀이시죠?	SS_NAME-B O O O
지급청구 및 지급예정내용은 한국투자증권으로 문의해야 하나요?	O O O SS_BRAND-B O O
지급청구 후 지급예정일은 골든트리투자자문사로 확인이 가능합니다.	O O O SS_BRAND-B O O
한화생명보험 안내서비스 번호를 알고 싶어요	SS_BRAND-B O O O O
가까운 BNP파리바카디프손해보험보험 고객플라자를 방문하셔서 신청하시면 됩니다.	O SS_BRAND-B O O O O
5047-0828으로 문의하시면 자세하게 다시 설명드리겠습니다.	ID_PHONE-B O O O O
울주군 다게리사거리 앞이예요.	AD_ADDRESS-B AD_DETAIL-B O
해당되는 보험이 있는지 확인해드리겠습니다.	O O O O
성함과 생년월일 확인부탁드립니다.	O O O
이름은 심선진, 1937년 10월 26일입니다.	O SS_NAME-B ID_INUM-B ID_INUM-I ID_INUM-I
성함과 생년월일 확인부탁드립니다.	O O O
이름은 허정옥, 1999년 09월 08일입니다.	O SS_NAME-B ID_INUM-B ID_INUM-I ID_INUM-I
이름은 유하훈, 1972년 03월 19일입니다.	O SS_NAME-B ID_INUM-B ID_INUM-I ID_INUM-I
주소지 월평동에서 제일 가까운 고객센터는 신가꽃산길지점입니다.	O AD_ADDRESS-B O O O AD_DETAIL-B
해당 주소도 고객님 휴대폰으로 문자 안내드리겠습니다.	O O O O O O
서울특별시 노량진1동 강변유원아파트 정문 이예요.	AD_ADDRESS-B AD_ADDRESS-I AD_DETAIL-B O O
해당 번호로 가입되 있는 차량 번호가 65805맞나요?	O O O O O O O
성함이 어떻게 되시나요?	O O O
이름은 풍준혁입니다.	O SS_NAME-B
성함과 생년월일 확인부탁드립니다.	O O O
이름은 하민정, 2003년 09월 12일입니다.	O SS_NAME-B ID_INUM-B ID_INUM-I ID_INUM-I
팩스번호는 4653-001-3866입니다.	O ID_PHONE-B
팩스 확인후에 지급 보험료를 다시 안내해드리겠습니다	O O O O O O
성함과 생년월일 확인부탁드립니다.	O O O
이름은 권윤빈, 1998년 03월 14일 입니다.	O SS_NAME-B ID_INUM-B ID_INUM-I ID_INUM-I O
고객님 성함을 말씀해 주시겠습니까?	O O O O
유규하 입니다.	SS_NAME-B O
생년월일은 어떻게 되시나요?	O O O
1993년10월03일 입니다.	ID_INUM-B O
사시는곳 상세주소를 말씀해 주시겠습니까?	O O O O
강변유원 아파트 OO동OO입니다.	AD_DETAIL-B AD_DETAIL-I AD_DETAIL-I
팩스번호 알려주시겠어요?	O O
FAX 448-406-818 입니다.	O ID_PHONE-B O
성함과 주민번호 앞자리말씀해 주시겠습니까?	O O O O
노재용 980314입니다.	SS_NAME-B ID_INUM-B
사시는곳 주소가 거창 아파트 몇동 몇호신가요?	O O O O O O
12동307호 입니다.	AD_DETAIL-B O
앱스토어에 들어가셔서 에이스손해보험 모바일 앱설치후 직접청구 가능하십니다.	O O SS_BRAND-B O O O O
성함을 말씀해 주시겠어요?	O O O
남궁인혁입니다.	SS_NAME-B
생년월일은 어떻게 되시나요?	O O O
1998년03월14일 입니다.	ID_INUM-B O
전북은행입니다.	SS_BRAND-B
성함이 어떻게 되시나요?	O O O
정혜민입니다.	SS_NAME-B
주민번호 앞 6자리 말씀해 주시겠어요?	O O O O O
437447입니다.	ID_INUM-B
성함을 말씀해 주시겠어요?	O O O
최동철입니다.	SS_NAME-B
fax 406-2002-5554입니다.	O ID_PHONE-B
성함말씀해 주시겠어요?	O O
고동환입니다.	SS_NAME-B
거주지 주소 동호수 말씀해 주시겠어요?	O O O O O
705동1803호 입니다.	AD_DETAIL-B O
생년월일을 말씀해 주시겠어요?	O O O
1997년05월03일입니다.	ID_INUM-B
신한은행입니다.	SS_BRAND-B
연락처 확인해주시겠어요?	O O
010-0058-0994입니다.	ID_PHONE-B
성함을 말씀해 주시겠어요?	O O O
한현민입니다.	SS_NAME-B
주민번호 앞 6자리 말씀해 주시겠어요?	O O O O O
869573입니다.	ID_INUM-B
운전자보험에 가입해 계십니다.	O O O
성함이 어떻게 되시나요?	O O O
장윤철입니다.	SS_NAME-B
삼성건강보험 1건 가입확인되십니다.	SS_BRAND-B O O
사시는 아파트 동호수 말씀해 주시겠어요?	O O O O O
1068동380호 입니다.	AD_DETAIL-B O
성함과 주민번호 앞자리 알려주시겠어요?	O O O O
강혜영 511068 입니다.	SS_NAME-B ID_INUM-B O
성함을 말씀해주시겠어요?	O O
배범호입니다.	SS_NAME-B
핸드폰번호 뒤 4자리 말씀해 주시겠습니까?	O O O O O
1198입니다.	ID_PHONE-B
성함말씀해 주시겠어요?	O O
문선숙입니다.	SS_NAME-B
주민번호 앞 6자리 말씀해 주시겠어요?	O O O O O
650628입니다.	ID_INUM-B
홍태식입니다.	SS_NAME-B
주민번호 앞 6자리 말씀해 주시겠어요?	O O O O O
110609입니다.	ID_INUM-B
성함말씀해 주시겠어요?	O O
유성욱입니다.	SS_NAME-B
사시는곳 동호수 말씀해 주시겠어요?	O O O O
655동4775호 입니다.	AD_DETAIL-B O
DB생명 건강보험 확인되십니다.	SS_BRAND-B O O
본인 핸드폰번호 뒤 4자리 말씀해 주시겠어요?	O O O O O O
2849입니다.	ID_PHONE-B
팩스번호 알려주시겠어요?	O O
FAX 430-511-068 입니다.	O ID_PHONE-B O
주민번호 앞 6자리 말씀해 주시겠어요?	O O O O O
581114입니다.	ID_INUM-B
사시는곳 동호수 말씀해 주시겠어요?	O O O O
303동 3273 호 입니다.	AD_DETAIL-B AD_DETAIL-I O O
주민번호 앞 6자리 말씀해 주시겠어요?	O O O O O
040130입니다.	ID_INUM-B
성함이 어떻게 되시나요?	O O O
정창환입니다.	SS_NAME-B
핸드폰번호 뒤 4자리 말씀해 주시겠습니까?	O O O O O
6901 입니다.	ID_PHONE-B O
하나생명건강보험 1건 가입확인되십니다.	SS_BRAND-B O O
앱스토어에 들어가셔서 KDB생명보험 모바일 앱설치후 직접청구 가능하십니다.	O O SS_BRAND-B O O O O
성함말씀해 주시겠어요?	O O
황남일입니다.	SS_NAME-B
사시는곳 동호수 말씀해 주시겠어요?	O O O O
178동337호 입니다.	AD_DETAIL-B O
KB생명 건강보험 확인되십니다.	SS_BRAND-B O O
성함과 주민번호 앞자리말씀해 주시겠습니까?	O O O O
제갈영우 330811입니다.	SS_NAME-B ID_INUM-B
사시는곳 주소 동호수 말씀해 주시겠어요?	O O O O O
804동3812호 입니다.	AD_DETAIL-B O
앱스토어에 들어가셔서 롯데손해보험 모바일 앱설치후 직접청구 가능하십니다.	O O SS_BRAND-B O O O O
성함을 말씀해 주시겠어요?	O O O
윤재영입니다.	SS_NAME-B
생년월일은 어떻게 되시나요?	O O O
1966년03월26일 입니다.	ID_INUM-B O
한국스탠다드차타드은행입니다.	SS_BRAND-B
성함을 말씀해 주시겠어요?	O O O
제갈연주입니다.	SS_NAME-B
주민번호 앞 6자리 말씀해 주시겠어요?	O O O O O
410702입니다.	ID_INUM-B
성함과 주민번호 앞자리말씀해 주시겠어요?	O O O O
유민주 351007입니다.	SS_NAME-B ID_INUM-B
성함과 주민번호 앞자리말씀해 주시겠어요?	O O O O
황재현 450821입니다.	SS_NAME-B ID_INUM-B
성함을 말씀해 주시겠습니까?	O O O
남궁원빈입니다.	SS_NAME-B
사시는곳 주소 동호수 말씀해 주시겠어요?	O O O O O
1110동2608호 입니다.	AD_DETAIL-B O
성함과 주민번호 앞자리말씀해 주시겠어요?	O O O O
추유원 100517입니다.	SS_NAME-B ID_INUM-B
생년월일 말씀해 주시겠어요?	O O O
691211입니다.	ID_INUM-B
NH농협생명 확인되십니다.	SS_BRAND-B O
등록되신 핸드폰번호 뒤4자리 말씀해 주시겠어요?	O O O O O
5226입니다.	ID_PHONE-B
팩스번호는 209-8151-3925 입니다.	O ID_PHONE-B O
등록되신 핸드폰번호 뒤4자리 말씀해 주시겠어요?	O O O O O
5615입니다.	ID_PHONE-B
팩스번호는 135-2154-8618 입니다.	O ID_PHONE-B O
생년월일 말씀해 주시겠어요?	O O O
531122입니다.	ID_INUM-B
ABL생명보험이 확인되십니다	SS_BRAND-B O
생년월일 말씀해 주시겠어요?	O O O
601025입니다.	ID_INUM-B
동양생명통합보험이 확인되십니다	SS_BRAND-B O
사시는곳 상세주소를 말씀해 주시겠습니까?	O O O O
입장동 541번지 입니다.	AD_DETAIL-B AD_DETAIL-I O
사시는곳 동호수 말씀해 주시겠습니까?	O O O O
108-3동 3186호 입니다.	AD_DETAIL-B AD_DETAIL-I O
성함과 주민번호 앞자리 말씀해 주시겠어요?	O O O O O
노혜선 640731입니다.	SS_NAME-B ID_INUM-B
동양생명건강보험이 확이되십니다.	SS_BRAND-B O
fax 426-5615-9746 입니다.	O ID_PHONE-B O
성함과 주민번호 앞자리 말씀해 주시겠어요?	O O O O O
풍지영 440812입니다.	SS_NAME-B ID_INUM-B
AIG손해보험이 확이되십니다.	SS_BRAND-B O
사시는곳 동호수 말씀해 주시겠어요?	O O O O
125동4367호 입니다.	AD_DETAIL-B O
현대해상화재종신보험 확인되십니다.	SS_BRAND-B O
사시는곳 동호수 말씀해 주시겠어요?	O O O O
88동774호 입니다.	AD_DETAIL-B O
BNP파리바카디프손해종신보험 확인되십니다.	SS_BRAND-B O
생년월일 말씀해 주시겠어요?	O O O
070131입니다	ID_INUM-B
생년월일 말씀해 주시겠어요?	O O O
000231입니다	ID_INUM-B
생년월일 말씀해 주시겠어요?	O O O
340911입니다	ID_INUM-B
생년월일 말씀해 주시겠어요?	O O O
830307입니다	ID_INUM-B
상세주소 말씀해주시겠어요?	O O
43번지 1층 입니다.	AD_DETAIL-B AD_DETAIL-I O
생년월일 말씀해 주시겠어요?	O O O
741005입니다	ID_INUM-B
생년월일 말씀해 주시겠어요?	O O O
720422입니다	ID_INUM-B
생년월일 말씀해 주시겠어요?	O O O
560617입니다	ID_INUM-B
주민번호 앞 6자리 말씀해 주시겠어요?	O O O O O
610528입니다	ID_INUM-B
생년월일 말씀해 주시겠어요?	O O O
340810입니다	ID_INUM-B
등록되잇는 핸드폰번호 뒤 4자리 말씀해 주시겠어요?	O O O O O O
9681입니다	ID_PHONE-B
사시는곳 상세주소 말씀해주시겠어요?	O O O
817동4224호입니다.	AD_DETAIL-B
생년월일앞자리 말씀해 주시겠어요?	O O O
390104 입니다.	ID_INUM-B O
사시는곳 상세주소 말씀해주시겠어요?	O O O
1679동965호입니다.	AD_DETAIL-B
사시는곳 상세주소 말씀해주시겠어요?	O O O
1590동2956호입니다.	AD_DETAIL-B
사시는곳 상세주소 말씀해주시겠어요?	O O O
1500동1587호입니다.	AD_DETAIL-B
생년월일6자리 말씀해 주시겠어요?	O O O
660521 입니다.	ID_INUM-B O
동부화재해상보험 확인되십니다.	SS_BRAND-B O
생년월일6자리 말씀해 주시겠어요?	O O O
590531 입니다.	ID_INUM-B O
처브라이프보험 확인되십니다.	SS_BRAND-B O
생년월일6자리 말씀해 주시겠어요?	O O O
320415 입니다.	ID_INUM-B O
동양생명보험 확인되십니다.	SS_BRAND-B O
생년월일6자리 말씀해 주시겠어요?	O O O
141029 입니다.	ID_INUM-B O
생년월일 앞6자리 말씀해 주시겠어요?	O O O O
170605 입니다.	ID_INUM-B O
NH농협생명보험 확인되십니다.	SS_BRAND-B O
사시는곳 상세주소 말씀해주시겠어요?	O O O
247동1819호입니다.	AD_DETAIL-B
하나생명보험 확인되십니다.	SS_BRAND-B O
주민번호 앞6자리 말씀해 주시겠어요?	O O O O
600218입니다.	ID_INUM-B
ABL생명보험 확인되십니다.	SS_BRAND-B O
주민번호 앞6자리 말씀해 주시겠어요?	O O O O
630210입니다.	ID_INUM-B
IBK연금보험 확인되십니다.	SS_BRAND-B O
주민번호 앞6자리 말씀해 주시겠어요?	O O O O
520707입니다.	ID_INUM-B
에이스손해보험 확인되십니다.	SS_BRAND-B O
주민번호 앞6자리 말씀해 주시겠어요?	O O O O
450705입니다.	ID_INUM-B
SGI서울보증보험 확인되십니다.	SS_BRAND-B O
주민번호 앞6자리 말씀해 주시겠어요?	O O O O
660103입니다.	ID_INUM-B
라이나생명보험 확인되십니다.	SS_BRAND-B O
사시는곳 상세주소 말씀해주시겠어요?	O O O
101동408호입니다.	AD_DETAIL-B
사시는곳 상세주소 말씀해주시겠어요?	O O O
38동408호입니다.	AD_DETAIL-B
사시는곳 상세주소 말씀해주시겠어요?	O O O
712동4096호입니다.	AD_DETAIL-B
미래에셋생명보험 확인되십니다.	SS_BRAND-B O
주민번호 앞6자리 말씀해 주시겠어요?	O O O O
530318입니다.	ID_INUM-B
처브라이프보험 확인되십니다.	SS_BRAND-B O
주민번호 앞6자리 말씀해 주시겠어요?	O O O O
710704입니다.	ID_INUM-B
MG손해보험 확인되십니다.	SS_BRAND-B O
표선옥고객님이신가요?	SS_NAME-B
설영기고객님 맞으시죠?	SS_NAME-B O
박광석고객님 맞으시죠?	SS_NAME-B O
MG손해보험과 현대라이프생명보험있으신데 맞으신가요?	SS_BRAND-B SS_BRAND-B O
메트라이프생명보험에서 골절진단비 보상가능하십니다	SS_BRAND-B O O
DB와 현대입니다	SS_BRAND-B SS_BRAND-B
안영기입니다 980910-2492862입니다	SS_NAME-B ID_INUM-B
양민우입니다 500815-4613963이예요	SS_NAME-B ID_INUM-B
종각 4거리 H건물 10층에 있습니다	AD_DETAIL-B AD_DETAIL-I AD_DETAIL-I AD_DETAIL-I O
현재 근무하는 곳이 종각 근처이신가요?	O O O AD_DETAIL-B O
생년월일 앞6자리 말씀해 주시겠어요?	O O O O
360511 입니다.	ID_INUM-B O
IBK연금보험 확인되십니다.	SS_BRAND-B O
사시는곳 상세주소 말씀해주시겠어요?	O O O
265동4699호입니다.	AD_DETAIL-B
NH농협손해보험 확인되십니다.	SS_BRAND-B O
주민번호 앞6자리 말씀해 주시겠어요?	O O O O
331216입니다.	ID_INUM-B
ABL생명보험 확인되십니다.	SS_BRAND-B O
주민번호 앞6자리 말씀해 주시겠어요?	O O O O
520430입니다.	ID_INUM-B
NH농협손해보험 확인되십니다.	SS_BRAND-B O
사시는곳 상세주소 말씀해주시겠어요?	O O O
219동 2687호입니다.	AD_DETAIL-B AD_DETAIL-I
사시는곳 상세주소 말씀해주시겠어요?	O O O
116동4893호입니다.	AD_DETAIL-B
사시는곳 상세주소 말씀해주시겠어요?	O O O
343동1261호입니다.	AD_DETAIL-B
메트라이프생명보험 확인되십니다.	SS_BRAND-B O
주민번호 앞6자리 말씀해 주시겠어요?	O O O O
310404입니다.	ID_INUM-B
동양생명보험 확인되십니다.	SS_BRAND-B O
주민번호 앞6자리 말씀해 주시겠어요?	O O O O
560622입니다.	ID_INUM-B
KDB생명보험 확인되십니다.	SS_BRAND-B O
생년월일6자리 말씀해 주시겠어요?	O O O
110923 입니다.	ID_INUM-B O
하나생명보험 확인되십니다.	SS_BRAND-B O
생년월일6자리 말씀해 주시겠어요?	O O O
651113 입니다.	ID_INUM-B O
DB생명보험 확인되십니다.	SS_BRAND-B O
사시는곳 상세주소 말씀해주시겠어요?	O O O
220동2275호입니다.	AD_DETAIL-B
동부화재해상보험 확인되십니다.	SS_BRAND-B O
사시는곳 상세주소 말씀해주시겠어요?	O O O
104동1821호입니다.	AD_DETAIL-B
생년월일6자리 말씀해 주시겠어요?	O O O
940822 입니다.	ID_INUM-B O
BNP파리바카디프생명보험 확인되십니다.	SS_BRAND-B O
생년월일6자리 말씀해 주시겠어요?	O O O
750329 입니다.	ID_INUM-B O
AIG손해보험 확인되십니다.	SS_BRAND-B O
생년월일6자리 말씀해 주시겠어요?	O O O
700124 입니다.	ID_INUM-B O
흥국생명보험 확인되십니다.	SS_BRAND-B O
생년월일6자리 말씀해 주시겠어요?	O O O
570222 입니다.	ID_INUM-B O
생년월일 앞6자리 말씀해 주시겠어요?	O O O O
500731 입니다.	ID_INUM-B O
현대해상화재보험 확인되십니다.	SS_BRAND-B O
사시는곳 상세주소 말씀해주시겠어요?	O O O
968동3998호입니다.	AD_DETAIL-B
푸르덴셜생명보험 확인되십니다.	SS_BRAND-B O
등록되잇는 핸드폰번호 뒤 4자리 말씀해 주시겠어요?	O O O O O O
9583입니다	ID_PHONE-B
사시는곳 상세주소 말씀해주시겠어요?	O O O
320동4193호입니다.	AD_DETAIL-B
생년월일앞자리 말씀해 주시겠어요?	O O O
810506 입니다.	ID_INUM-B O
사시는곳 상세주소 말씀해주시겠어요?	O O O
800동3205호입니다.	AD_DETAIL-B
사시는곳 상세주소 말씀해주시겠어요?	O O O
567-1동1515호입니다.	AD_DETAIL-B
하나생명보험에 가입했는데요.	SS_BRAND-B O
네, 현재 저의 NH농협생명은 메트라이프생명에 현장확인을 위탁하고 있습니다.	O O O SS_BRAND-B SS_BRAND-B O O O
사시는 곳이 서울특별시 은평구 서오릉4동 이하 주소가 어떻게 되시죠?	O O AD_ADDRESS-B AD_ADDRESS-I AD_ADDRESS-I O O O O
중랑동 1773호입니다.	AD_DETAIL-B AD_DETAIL-B
신한은행입니다.	SS_BRAND-B
제가 딸 앞으로 BNP파리바카디프생명을 들어두었습니다.	O O O SS_BRAND-B O
딸에게 메트라이프생명을 들어줬는데요.	O SS_BRAND-B O
사시는 곳이 서울특별시 송파구 가락본동 이하 주소가 어떻게 되시죠?	O O AD_ADDRESS-B AD_ADDRESS-I AD_ADDRESS-I O O O O
남원오피스텔 3326호.	AD_DETAIL-B AD_DETAIL-I
광주은행입니다.	SS_BRAND-B
제가 여기 MG손해에 실손의료보험을 가입한 게 있습니다.	O O SS_BRAND-B O O O O
저희 IBK연금에서 가입하신 보험은 입원비의 90%인 1350만원이 보상책임액이 됩니다.	O SS_BRAND-B O O O O O O O
그래서 저희 KB생명은 1095만원을, 타 보험사는 405만원을 지급해드립니다.	O O SS_BRAND-B O O O O O
제가 신한라이프(구신한생명)보험이 개인이랑 단체가 있는데요.	O SS_BRAND-B O O O
사시는 곳이 대구광역시 중구 사서동 이하 주소가 어떻게 되시죠?	O O AD_ADDRESS-B AD_ADDRESS-I AD_ADDRESS-I O O O O
루미니오피스텔 3858호입니다.	AD_DETAIL-B AD_DETAIL-I
보험금 지급사유 판정에 드는 비용은 저희 교보생명이 전액 부담합니다.	O O O O O O SS_BRAND-B O O
핸드폰번호가 어떻게 되시죠?	O O O
010-0100-5628 입니다.	ID_PHONE-B O
생년월일은요?	O
760420입니다.	ID_INUM-B
네, 악사손해 해외여행자보험 가입 확인되셨습니다.	O SS_BRAND-B O O O
사시는 곳이 대구광역시 달서구 월성동 이하 주소가 어떻게 되시죠?	O O AD_ADDRESS-B AD_ADDRESS-I AD_ADDRESS-I O O O O
목동신시가지아파트 1448동 1272호입니다.	AD_DETAIL-B AD_DETAIL-I AD_DETAIL-I
네, 상담원 허인호이었습니다.	O O SS_NAME-B
좋은 하루 되세요.	O O O
종로 5가에 있습니다	AD_DETAIL-B AD_DETAIL-I O
팩스번호 알려주시겠어요?	O O
997-8420입니다	ID_PHONE-B
네, 생년월일 6자리가 어떻게 되시나요?	O O O O O
160606이예요.	ID_INUM-B
다친 자제분은 성함이 어떻게 되나요	O O O O O
풍도영 입니다	SS_NAME-B O
생년월일은 어떻게 되죠?	O O O
2007년1월1일생 입니다	O O
상품개발부서 전화번호가 있나요?	O O O
5390-1998	ID_PHONE-B
고객님은 계약자오혜성이신가요?	O SS_NAME-B
한화생명보험사죠?	SS_BRAND-B
교통사고 운전자보험금 신청하려구요	O O O
